mem	days	uri
4983	0	www.usmagazine.com/celebrity-style/news/taylor-swift-wears-two-crop-top-outfits-to-iheartradio-music-festival-2015-2014229
4837	0	ask.fm/gdbngmin
4698	0	emperorsoftime.weebly.com/
4620	332	www.twliterary.com
4619	6	1-greg-mimbs.artistwebsites.com/
4619	0	www.rdio.com/artist/Maria_Bethania/album/Carta_de_Amor/track/Carta_de_Amor/
4618	964	www.brunomars.com/
4618	5	halluworld.com/
4618	0	ask.fm/Joze216
4618	0	forlum.tumblr.com/
4618	0	www.milenio.com/tendencias/iPhone_6-Apple-Android_0_377362350.html
4559	14	www.viralspell.com/
4516	10	www.drsnutrition.org/
4469	0	sealoftheking.com/
4468	0	www.youtube.com/user/FikriAlfathan/videos
4409	0	soundcloud.com/sagi-corn
4378	65	jaymathes.com/
4376	0	ip.hone6.com/
4376	0	raptr.com/Kain0025/wall
4244	0	claudiaparadis.com/
4226	42	www.black-gold.biz/
4226	11	www.kpkinteractive.com/
4226	0	b-easley.blogspot.com/
4226	0	img2.wikia.nocookie.net/__cb20120629062551/phineasandferb/images/e/e7/Doofapus_Up_Close.jpg
4225	16	www.retrocitystudios.com/
4225	8	route.newsactus.com/gam3newz/
4225	2	twitter.whatthemovie.com/
4225	0	celebrityfeed.com/blake-lively
4225	0	instagram.com/danielad31
4069	0	a1109309.tumblr.com/
4063	0	m.vk.com/sethmorrison
4057	0	gatodelix.com/
3939	0	croppedandhighwaisted.tumblr.com/
3931	19	KenCarpenter.com/
3931	0	ronineducacion.com/
3900	5	www.goldenribbonbakery.com/
3899	0	bestcollisionshops.com/
3823	4	www.utahoutside.com/author/brysonwhite/
3764	5	theeightytwenty.com/
3704	0	twitter.com/hayesgrier/status/512414201605013504
3679	24	koketki.biz/
3679	12	www.cathrine-garnell.blogspot.co.uk/
3660	0	www.flickr.com/photos/ycsocio/
3632	0	www.gofundme.com/dvz1i0
3631	0	twitter.com/brentrivera/status/507004478059315200
3610	390	www.windowsobserver.com/
3598	0	www.hhtweaponry.com/
3519	0	www.mandaovenezolano.com/
3471	840	www.1freehosting.com/
3422	29	www.boraiephotography.com/
3388	0	www.yahoo.com/tech/iphone-drop-test-carnage-all-models-shatter-in-98164750589.html
3361	0	www.crownrecord.co.jp/artist/hero/pdf/20140923.pdf
3338	15	www.6sproductivitycom.com/
3332	0	liefact.com/
3321	0	pretty-blr.tumblr.com/
3303	3	www.bluesintheburg.com/
3219	0	www.youtube.com/user/pvoltgaming
3206	175	www.siusalukis.com/
3187	0	der-steppen-wolf.tumblr.com/post/98188268143
3159	0	com.nicovideo.jp/community/co2388553
3152	0	prize26686.blogspot.com/
3130	0	tattooedunicorn.net
3108	4	www.leadsleap.com/go/47738
3095	1	www.youtube.com/user/ImFatez
3092	0	designmiley.tumblr.com/
3088	2	dragplus.com/browse/android/
3088	0	www.youtube.com/user/BMXE300
3073	40	e-tlaxcala.mx/
3071	0	thedailyshow.cc.com/extended-interviews/8tw6kt/bill-clinton-extended-interview
3069	16	joeykidz.tumblr.com
3048	2596	tunein.com
3046	0	www.pinterest.com/pin/3940718399914419/
3039	0	paulinaguinto.tumblr.com/
